iter	Passed	Remaining
887	1147	144
888	1148	143
889	1149	142
890	1150	140
891	1152	139
892	1153	138
893	1155	136
894	1156	135
895	1157	134
896	1158	133
897	1160	131
898	1161	130
899	1162	129
900	1163	127
901	1165	126
902	1166	125
903	1167	123
904	1168	122
905	1170	121
906	1171	120
907	1172	118
908	1173	117
909	1174	116
910	1176	114
911	1177	113
912	1178	112
913	1180	111
914	1181	109
915	1182	108
916	1183	107
917	1185	105
918	1186	104
919	1187	103
920	1188	101
921	1189	100
922	1191	99
923	1192	98
924	1193	96
925	1194	95
926	1196	94
927	1197	92
928	1198	91
929	1199	90
930	1200	88
931	1201	87
932	1203	86
933	1204	85
934	1205	83
935	1206	82
936	1208	81
937	1209	79
938	1210	78
939	1211	77
940	1212	76
941	1213	74
942	1215	73
943	1216	72
944	1217	70
945	1218	69
946	1220	68
947	1221	66
948	1222	65
949	1223	64
950	1224	63
951	1226	61
952	1227	60
953	1228	59
954	1229	57
955	1230	56
956	1231	55
957	1232	54
958	1233	52
959	1234	51
960	1235	50
961	1237	48
962	1238	47
963	1239	46
964	1240	44
965	1241	43
966	1242	42
967	1243	41
968	1244	39
969	1246	38
970	1247	37
971	1248	35
972	1249	34
973	1250	33
974	1251	32
975	1252	30
976	1253	29
977	1254	28
978	1255	26
979	1256	25
980	1257	24
981	1258	23
982	1260	21
983	1261	20
984	1262	19
985	1263	17
986	1264	16
987	1265	15
988	1267	14
989	1268	12
990	1269	11
991	1270	10
992	1271	8
993	1272	7
994	1273	6
995	1274	5
996	1276	3
997	1277	2
998	1278	1
999	1279	0
